Aspect to consider,Pillar,WA-Pillars,Topic,Importance,By role,By Lifecycle,Recommendation Maturity,Recommendations,Stakeholders,Comments,Reviewed by
What is the data model?,,,Modifiability,0: Low,,,0: Free choice,,,FCH:OK,Pending review
What stack to use for frontend?,Quality at Development,,Modifiability,1: Medium,TTL,Sprint 0,0: Free choice,,,FCH:OK,Pending review
What's the expected lifespan of the system. How long will the system be used?,,,Modifiability,0: Low,,,0: Free choice,,,FCH:OK,Pending review
GENERAL: How to increase modifiability?,Quality at Development,,Modifiability,3: Very High,Architect,Sprint 0,0: Free choice,"Consider CQRS pattern
Consider Event-driven style
Consider CRUD pattern
Consider Onion Architecture
Use Feature Toggles",,"FCH:why the general prefix on this one ? I see now, but the GENERAL question is missing for some other tags",Pending review
How to document architecture?,Quality at Development,,Modifiability,2: High,Architect,Sprint 0,1: Provisional advice,"Use C4 model
Use Structurizr
Consider Ice Panel",Jérémy Subtil,FCH:OK,Pending review
What are the retention policies? How is data archived?,,Performance Efficiency,Performance,0: Low,,,0: Free choice,,,FCH:one question only please,Pending review
Are there different types of users,Quality at Runtime,,Security,0: Low,CP,,0: Free choice,,,FCH:OK,Pending review
AI/ML projects: how to improve testability?,Quality at Development,Reliability,Testability,0: Low,TTL,,0: Free choice,"Ask for test data for AI projects
Use data anonymization tool RegData",,FCH:OK,Pending review
How is static code quality analysis organized?,Quality at Development,Operational Excellence,Modifiability,0: Low,TTL,Sprint 0,0: Free choice,,,"FCH:OK, but for projects in our infra, it should be enforced by our pipelines",Pending review
What Metrics & Quality gates are there?,Quality at Development,Operational Excellence,Testability,0: Low,TTL,,0: Free choice,,,FCH:OK,Pending review
How the testability  is tracked,Quality at Development,Operational Excellence,Testability,0: Low,Architect,,0: Free choice,"Use SonarQube
Use Quality Dashboards",,FCH:OK,Pending review
What coding guidelines are there for tests?,Quality at Development,Reliability,Testability,0: Low,TTL,,0: Free choice,,,FCH:OK,Pending review
"How to organize GitOps? Deployments, rollbacks, configuration, what tools to use?",Quality at Development,Operational Excellence,Deployability,0: Low,TTL,,0: Free choice,"Use Feature Toggles
Use directory/file per environment",,FCH: split questions,Pending review
"GENERAL: How to improve testability?  ",Quality at Development,Reliability,Testability,0: Low,TTL,,0: Free choice,"Refer to Testing Audit
Limit complexity
Use Dependency Injection
Consider Onion Architecture
Integrate tests into CI/CD pipeline
Promote modular design
Mock or Stub 3rd party APIs
Dedicate time for test maintenance",,"Bring in advices from Robert C. Martin's Clean Architecture; Talk to TG-Quality, e.g. Edouard Gence, Alexander Haze; Add people to stakeholders: Anh & Le in Danang, Pavel, Pierre.",Pending review
Where to store artifacts? / Is there a project-specific need?,Quality at Development,Operational Excellence,Deployability,0: Low,TTL,,0: Free choice,,Balazs Lajer,FCH: I don't see the added value of the second question,Pending review
How to document APIs,Quality at Development,Operational Excellence,Integrability,0: Low,TTL,,1: Provisional advice,Consider Swagger,,FCH:OK,Pending review
Where to set up wiki?,Quality at Development,Operational Excellence,Modifiability,0: Low,TTL,Sprint 0,0: Free choice,,,FCH:OK,Pending review
What stack to use for backend?,Quality at Development,,Modifiability,1: Medium,TTL,Sprint 0,0: Free choice,,,FCH:OK,Pending review
How to set up the guardrails to ensure teams's autonomy while ensuring security without loosing the control?,Quality at Runtime,,Security,0: Low,,,,,,,Pending review
What tools to use for mockups?,Quality at Runtime,,Usability,0: Low,Architect,Project Kickoff,0: Free choice,,,FCH:OK,Pending review
How users authenticate?,Quality at Runtime,Security,Security,0: Low,Architect,,0: Free choice,,,FCH:OK,Pending review
How to ensure accessibility?,Quality at Runtime,,Usability,0: Low,Architect,Sprint 0,0: Free choice,,,FCH:OK,Pending review
How to ensure design will be user-centric?,Quality at Runtime,,Usability,0: Low,Architect,Project Kickoff,0: Free choice,,,FCH:OK,Pending review
How to improve usability?,Quality at Runtime,,Usability,0: Low,Architect,Project Kickoff,0: Free choice,,,"How to improve usability?, FCH:OK",Pending review
What Identity provider do you use?,Quality at Runtime,Security,Security,0: Low,Architect,,0: Free choice,"Consider Firebase authentication CIAM
Consider Google Identity Platform CIAM
Consider AWS Cognito CIAM
Consider Azure Active Directory External Identities CIAM
Consider Okta CIAM
Consider Alibaba Identity as a service CIAM
Consider Auth0 CIAM",,FCH:OK,Pending review
What caching mechanisms to use?,Quality at Runtime,Performance Efficiency,Performance,0: Low,Architect,,0: Free choice,,,FCH:OK,Pending review
What best practices of usability to use?,Quality at Runtime,,Usability,0: Low,Architect,Project Kickoff,0: Free choice,,,FCH:OK,Pending review
